City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
205,Hobyo,SO,2022-12-11 17:36:22,5.3505,48.5268,78.96,67,82,21.18
206,Rocha,UY,2022-12-11 17:32:06,-34.4833,-54.3333,103.08,15,0,10.96
207,Dobrinka,RU,2022-12-11 17:36:22,52.1653,40.4731,35.37,90,100,19.73
208,Esterhazy,CA,2022-12-11 17:36:23,50.65,-102.0843,11.25,87,80,12.28
209,Seoul,KR,2022-12-11 17:33:05,37.5683,126.9778,29.64,84,0,2.3
210,Neryungri,RU,2022-12-11 17:36:23,56.6709,124.6491,-5.15,99,100,6.15
211,Longyearbyen,SJ,2022-12-11 17:36:23,78.2186,15.6401,22.84,74,75,26.46
212,Dawlatabad,AF,2022-12-11 17:36:24,36.4141,64.9053,37.47,61,100,3.0
213,Glazov,RU,2022-12-11 17:36:25,58.1394,52.6584,26.98,96,100,11.7
214,Koumac,NC,2022-12-11 17:36:25,-20.5667,164.2833,77.72,80,1,3.11
215,Buraydah,SA,2022-12-11 17:36:25,26.326,43.975,63.05,31,0,8.55
216,Teruel,ES,2022-12-11 17:36:26,40.6667,-0.6667,36.68,98,100,4.05
217,Tutoia,BR,2022-12-11 17:36:26,-2.7619,-42.2744,83.98,68,29,15.1
218,Raga,SS,2022-12-11 17:36:26,8.4596,25.678,76.82,18,11,3.24
219,San Cristobal,VE,2022-12-11 17:36:27,7.7669,-72.225,71.78,64,69,4.54
220,Talnakh,RU,2022-12-11 17:36:27,69.4865,88.3972,-24.7,100,100,8.86
221,Souillac,MU,2022-12-11 17:36:27,-20.5167,57.5167,77.38,73,40,6.91
222,Leh,IN,2022-12-11 17:36:28,34.1667,77.5833,18.64,49,73,1.21
223,Kirakira,SB,2022-12-11 17:36:28,-10.4544,161.9205,78.93,81,100,4.74
224,Severnyy,RU,2022-12-11 17:36:28,50.677,36.5532,42.84,75,0,20.13
225,Mogadishu,SO,2022-12-11 17:34:34,2.0371,45.3438,79.99,73,34,18.39
226,Gobabis,NA,2022-12-11 17:36:29,-22.45,18.9667,75.6,47,67,17.25
227,Camargo,MX,2022-12-11 17:37:29,27.6667,-105.1667,68.29,27,59,3.36
228,Faanui,PF,2022-12-11 17:36:41,-16.4833,-151.75,78.03,75,100,9.33
229,Norman Wells,CA,2022-12-11 17:37:29,65.282,-126.8329,-25.56,68,20,4.61
230,Nouadhibou,MR,2022-12-11 17:37:30,20.931,-17.0347,78.78,57,91,16.11
231,Zhigansk,RU,2022-12-11 17:37:30,66.7697,123.3711,-26.75,97,100,8.21
232,Chiredzi,ZW,2022-12-11 17:37:30,-21.05,31.6667,81.99,47,27,8.52
233,Upernavik,GL,2022-12-11 17:37:31,72.7868,-56.1549,10.71,86,78,16.13
234,Narsaq,GL,2022-12-11 17:37:31,60.9167,-46.05,30.42,66,11,8.99
235,Ostrovnoy,RU,2022-12-11 17:37:31,68.0531,39.5131,15.21,91,100,3.98
236,Bulawayo,ZW,2022-12-11 17:37:32,-20.15,28.5833,68.45,76,92,5.99
237,Roald,NO,2022-12-11 17:37:32,62.5833,6.1333,28.76,63,0,13.8
238,Bolintin Deal,RO,2022-12-11 17:37:32,44.4592,25.8211,44.87,87,88,14.29
239,Pierre,US,2022-12-11 17:37:33,44.3683,-100.351,38.28,55,0,12.66
240,Santa Vitoria Do Palmar,BR,2022-12-11 17:33:47,-33.5189,-53.3681,90.81,34,0,7.16
241,Bilgoraj,PL,2022-12-11 17:37:33,50.5411,22.722,26.65,95,100,11.14
242,Mbanza-Ngungu,CD,2022-12-11 17:37:33,-5.25,14.8667,69.1,94,30,2.84
243,Balabac,PH,2022-12-11 17:37:34,7.9868,117.0645,79.74,83,100,14.67
244,Khorixas,NA,2022-12-11 17:37:34,-20.3667,14.9667,73.17,31,11,18.45
245,Severo-Kurilsk,RU,2022-12-11 17:37:34,50.6789,156.125,25.74,71,100,15.66
246,Lompoc,US,2022-12-11 17:34:20,34.6391,-120.4579,55.02,89,75,8.05
247,Alofi,NU,2022-12-11 17:37:35,-19.0595,-169.9187,73.29,94,82,12.66
248,Verkhnevilyuysk,RU,2022-12-11 17:37:35,63.4453,120.3167,-51.34,99,71,3.98
249,Kulhudhuffushi,MV,2022-12-11 17:37:35,6.6221,73.07,81.25,75,22,15.61
250,Churapcha,RU,2022-12-11 17:37:35,62.0025,132.4325,-54.13,100,95,4.41
251,Manacapuru,BR,2022-12-11 17:37:36,-3.2997,-60.6206,93.45,42,67,0.78
252,Coquimbo,CL,2022-12-11 17:37:36,-29.9533,-71.3436,67.73,72,75,12.66
253,Rafai,CF,2022-12-11 17:37:36,4.95,23.9167,77.63,34,1,2.68
254,Bucerias,MX,2022-12-11 17:37:37,20.75,-105.3333,80.98,61,0,0.0
255,Matagami,CA,2022-12-11 17:37:37,49.7502,-77.6328,6.91,72,0,8.05
256,Mocuba,MZ,2022-12-11 17:37:37,-16.8392,36.9856,72.54,93,93,3.76
257,Jarvakandi,EE,2022-12-11 17:37:38,58.7789,24.8258,17.02,92,100,8.9
258,Bubaque,GW,2022-12-11 17:37:38,11.2833,-15.8333,81.52,73,16,14.0
259,Shimoda,JP,2022-12-11 17:37:38,34.6667,138.95,45.1,82,89,15.26
260,Sioux Lookout,CA,2022-12-11 17:37:39,50.1001,-91.917,26.67,93,100,4.61
261,Jumla,NP,2022-12-11 17:37:39,29.2747,82.1838,40.26,21,0,5.26
262,Morondava,MG,2022-12-11 17:37:39,-20.2833,44.2833,76.86,83,73,2.39
263,Sidi Ali,DZ,2022-12-11 17:37:40,36.0998,0.4206,63.45,71,100,26.89
264,Haines Junction,CA,2022-12-11 17:37:40,60.7522,-137.5108,-31.05,68,99,1.14
265,Gao,ML,2022-12-11 17:37:40,16.6362,1.637,76.03,11,82,10.11
266,Cap-Aux-Meules,CA,2022-12-11 17:36:06,47.3821,-61.8597,23.05,68,75,12.66
267,Bethel,US,2022-12-11 17:37:41,41.3712,-73.414,36.48,84,100,8.05
268,Leningradskiy,RU,2022-12-11 17:37:41,69.3833,178.4167,0.63,97,100,14.47
269,Pedreiras,BR,2022-12-11 17:37:41,-4.5688,-44.6003,90.0,52,67,1.45
270,Maroantsetra,MG,2022-12-11 17:37:42,-15.4333,49.7333,76.21,87,95,4.72
271,Maragogi,BR,2022-12-11 17:37:42,-9.0122,-35.2225,81.86,71,27,10.65
272,Bimbo,CF,2022-12-11 17:37:42,4.2567,18.4158,80.35,36,1,2.28
273,Xiaoweizhai,CN,2022-12-11 17:37:43,26.1903,107.5125,44.17,51,100,4.79
274,Santa Isabel Do Rio Negro,BR,2022-12-11 17:38:43,-0.4139,-65.0192,91.24,49,48,5.44
275,Goderich,CA,2022-12-11 17:34:00,43.7501,-81.7165,35.91,93,98,5.75
276,Parrita,CR,2022-12-11 17:38:43,9.5201,-84.3225,87.26,68,58,6.35
277,Mandalgovi,MN,2022-12-11 17:38:44,45.7625,106.2708,4.6,68,89,22.08
278,Richards Bay,ZA,2022-12-11 17:38:44,-28.783,32.0377,75.24,82,95,9.51
279,Vera Cruz,BR,2022-12-11 17:38:44,-12.6333,-41.0333,87.37,60,81,0.98
280,Mathathane,BW,2022-12-11 17:38:45,-22.2687,28.7495,82.74,45,85,17.47
281,Sabang,ID,2022-12-11 17:38:45,5.8933,95.3214,78.4,78,100,6.87
282,Atchison,US,2022-12-11 17:38:45,39.563,-95.1216,34.39,43,26,7.87
283,Aswan,EG,2022-12-11 17:38:45,24.0934,32.907,71.17,21,0,5.17
284,Goundam,ML,2022-12-11 17:38:46,16.4145,-3.6708,80.76,9,0,10.78
285,Kruisfontein,ZA,2022-12-11 17:38:46,-34.0033,24.7314,72.88,97,92,11.61
286,Riviere-Au-Renard,CA,2022-12-11 17:38:46,48.9957,-64.3971,19.69,55,24,16.17
287,Tank,PK,2022-12-11 17:38:47,32.2217,70.3793,61.74,27,53,2.8
288,Mason City,US,2022-12-11 17:35:40,43.1536,-93.201,34.57,85,100,3.44
289,Sitka,US,2022-12-11 17:38:47,57.0531,-135.33,24.69,74,75,6.91
290,Matiri,TZ,2022-12-11 17:38:48,-10.75,34.9,64.69,82,48,1.45
291,Dunmore Town,BS,2022-12-11 17:38:48,25.5,-76.65,75.49,69,5,4.81
